measurement,region_id,timestamp,value,extra_data
urtica,SK,2017-03-01,0.0,"{""rings"": 6}"
urtica,SK,2017-03-02,0.0,"{""rings"": 6}"
urtica,SK,2017-03-03,0.0,"{""rings"": 6}"
urtica,SK,2017-03-04,0.0,"{""rings"": 6}"
urtica,SK,2017-03-05,0.0,"{""rings"": 6}"
urtica,SK,2017-03-06,0.0,"{""rings"": 6}"
urtica,SK,2017-03-07,0.0,"{""rings"": 6}"
urtica,SK,2017-03-08,0.0,"{""rings"": 6}"
urtica,SK,2017-03-10,0.0,"{""rings"": 6}"
urtica,SK,2017-03-09,0.0,"{""rings"": 6}"
urtica,SK,2017-03-11,0.0,"{""rings"": 6}"
urtica,SK,2017-03-14,0.0,"{""rings"": 2}"
urtica,SK,2017-03-12,0.0,"{""rings"": 6}"
urtica,SK,2017-03-15,0.0,"{""rings"": 2}"
urtica,SK,2017-03-16,0.0,"{""rings"": 2}"
urtica,SK,2017-03-17,0.0,"{""rings"": 2}"
urtica,SK,2017-03-18,0.0,"{""rings"": 2}"
urtica,SK,2017-03-13,0.0,"{""rings"": 6}"
urtica,SK,2017-03-19,0.0,"{""rings"": 2}"
urtica,SK,2017-03-20,0.0,"{""rings"": 2}"
urtica,SK,2017-03-21,0.0,"{""rings"": 2}"
urtica,SK,2017-03-22,0.0,"{""rings"": 2}"
urtica,SK,2017-03-23,0.0,"{""rings"": 2}"
urtica,SK,2017-03-24,0.0,"{""rings"": 2}"
urtica,SK,2017-03-25,0.0,"{""rings"": 2}"
urtica,SK,2017-03-26,0.0,"{""rings"": 2}"
urtica,SK,2017-03-27,0.0,"{""rings"": 2}"
urtica,SK,2017-03-28,0.0,"{""rings"": 2}"
urtica,SK,2017-03-31,0.0,"{""rings"": 2}"
urtica,SK,2017-03-29,0.0,"{""rings"": 3}"
urtica,SK,2017-03-30,0.0,"{""rings"": 3}"
urtica,SK,2017-04-01,0.0,"{""rings"": 2}"
urtica,SK,2017-04-02,0.0,"{""rings"": 2}"
urtica,SK,2017-04-03,0.0,"{""rings"": 2}"
urtica,SK,2017-04-04,0.0,"{""rings"": 2}"
urtica,SK,2017-04-05,0.0,"{""rings"": 2}"
urtica,SK,2017-04-06,0.0,"{""rings"": 2}"
urtica,SK,2017-04-07,0.0,"{""rings"": 2}"
urtica,SK,2017-04-08,0.0,"{""rings"": 2}"
urtica,SK,2017-04-09,0.0,"{""rings"": 2}"
urtica,SK,2017-04-10,0.0,"{""rings"": 2}"
urtica,SK,2017-04-11,0.0,"{""rings"": 2}"
urtica,SK,2017-04-12,0.0,"{""rings"": 2}"
urtica,SK,2017-04-13,0.0,"{""rings"": 2}"
urtica,SK,2017-04-14,0.0,"{""rings"": 2}"
urtica,SK,2017-04-15,0.0,"{""rings"": 2}"
urtica,SK,2017-04-16,0.0,"{""rings"": 2}"
urtica,SK,2017-04-17,0.0,"{""rings"": 2}"
urtica,SK,2017-04-18,0.0,"{""rings"": 2}"
urtica,SK,2017-04-19,0.0,"{""rings"": 2}"
urtica,SK,2017-04-20,0.0,"{""rings"": 2}"
urtica,SK,2017-04-21,0.0,"{""rings"": 2}"
urtica,SK,2017-04-23,0.0,"{""rings"": 2}"
urtica,SK,2017-04-22,0.0,"{""rings"": 2}"
urtica,SK,2017-04-25,0.0,"{""rings"": 2}"
urtica,SK,2017-04-24,0.0,"{""rings"": 2}"
urtica,SK,2017-04-26,0.0,"{""rings"": 2}"
urtica,SK,2017-04-27,0.0,"{""rings"": 2}"
urtica,SK,2017-04-28,0.0,"{""rings"": 2}"
urtica,SK,2017-04-29,0.0,"{""rings"": 2}"
urtica,SK,2017-04-30,0.0,"{""rings"": 2}"
urtica,SK,2017-05-01,0.5,"{""rings"": 2}"
urtica,SK,2017-05-02,0.5,"{""rings"": 2}"
urtica,SK,2017-05-03,0.5,"{""rings"": 2}"
urtica,SK,2017-05-04,0.5,"{""rings"": 2}"
urtica,SK,2017-05-05,0.5,"{""rings"": 2}"
urtica,SK,2017-05-06,0.0,"{""rings"": 2}"
urtica,SK,2017-05-07,0.0,"{""rings"": 2}"
urtica,SK,2017-05-08,0.0,"{""rings"": 2}"
urtica,SK,2017-05-10,1.0,"{""rings"": 2}"
urtica,SK,2017-05-09,2.0,"{""rings"": 2}"
urtica,SK,2017-05-11,0.0,"{""rings"": 2}"
urtica,SK,2017-05-12,0.5,"{""rings"": 2}"
urtica,SK,2017-05-13,0.0,"{""rings"": 2}"
urtica,SK,2017-05-15,1.0,"{""rings"": 2}"
urtica,SK,2017-05-14,2.0,"{""rings"": 2}"
urtica,SK,2017-05-16,2.0,"{""rings"": 2}"
urtica,SK,2017-05-18,2.5,"{""rings"": 2}"
urtica,SK,2017-05-17,1.0,"{""rings"": 2}"
urtica,SK,2017-05-19,3.5,"{""rings"": 2}"
urtica,SK,2017-05-20,3.0,"{""rings"": 2}"
urtica,SK,2017-05-21,6.0,"{""rings"": 2}"
urtica,SK,2017-05-22,8.0,"{""rings"": 2}"
urtica,SK,2017-05-23,8.5,"{""rings"": 2}"
urtica,SK,2017-05-24,19.5,"{""rings"": 2}"
urtica,SK,2017-05-25,88.0,"{""rings"": 2}"
urtica,SK,2017-05-27,48.5,"{""rings"": 2}"
urtica,SK,2017-05-26,135.5,"{""rings"": 2}"
urtica,SK,2017-05-28,87.5,"{""rings"": 2}"
urtica,SK,2017-05-29,10.0,"{""rings"": 2}"
urtica,SK,2017-05-30,49.5,"{""rings"": 2}"
urtica,SK,2017-05-31,159.5,"{""rings"": 2}"
urtica,SK,2017-06-01,143.5,"{""rings"": 2}"
urtica,SK,2017-06-02,38.5,"{""rings"": 2}"
urtica,SK,2017-06-03,59.0,"{""rings"": 2}"
